task_id,domain,k,dimensions,n_dims,k_nn,selector,seed,b_coverage,b_maxsum,b_maxmin,b_novelty,maxsum_stability,redundancy,b_achieved,spread_go,spread_ru,spread_cb,hidden_pref_hits,hidden_pref_draws,hidden_pref_rate,hidden_pref_exact,coverage_by_dimension,n_selected,redundancy_floor,redundancy_excess,n_pool,b_pool,year,q,multiset_stability
1.0-1000-classical-2004-satellite-10,satellite,20,go+ru,2,3,bmaxsum,1097989417,20,57.83333333333329,0.08333333333333333,0.15625,84.7227736880287,0,20,0.608771929824561,0.0,,27,50,0.54,0.5208333333333334,"go:20/480,ru:1/1",20,0,0,1000,480,2004,1.0,True
1.0-1000-classical-2004-satellite-10,satellite,20,go+ru,2,3,bmaxmin,1097989417,2,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.5128205128205128,18,2,0.8333333333333334,0.0,,27,50,0.54,0.5020833333333333,"go:2/480,ru:1/1",2,0,18,1000,480,2004,1.0,True
1.0-1000-classical-2004-satellite-10,satellite,20,go+ru,2,3,bnovelty,1097989417,2,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.5128205128205128,18,2,0.8333333333333334,0.0,,27,50,0.54,0.5020833333333333,"go:2/480,ru:1/1",2,0,18,1000,480,2004,1.0,True
1.0-1000-classical-2004-satellite-10,satellite,20,go+ru,2,3,maxsum_stability,1097989417,20,57.166666666666636,0.125,0.17638888888888885,87.13487301858031,0,20,0.6017543859649119,0.0,,28,50,0.56,0.5208333333333334,"go:20/480,ru:1/1",20,0,0,1000,480,2004,1.0,True
1.0-1000-classical-2008-scanalyzer-1,scanalyzer,20,go+ru,2,3,bcoverage,558476505,20,32.74999999999999,0.08333333333333333,0.08680555555555554,141.19999999999993,0,20,0.34473684210526306,0.0,,39,50,0.78,0.7777777777777778,"go:20/36,ru:1/1",20,0,0,216,36,2008,1.0,True
1.0-1000-classical-2008-scanalyzer-1,scanalyzer,20,go+ru,2,3,bmaxsum,558476505,20,33.24999999999996,0.08333333333333333,0.08819444444444444,141.99999999999994,0,20,0.34999999999999953,0.0,,40,50,0.8,0.7777777777777778,"go:20/36,ru:1/1",20,0,0,216,36,2008,1.0,True
1.0-1000-classical-2008-scanalyzer-1,scanalyzer,20,go+ru,2,3,bmaxmin,558476505,3,0.75,0.25,0.25,1.6,17,3,0.5,0.0,,30,50,0.6,0.5416666666666666,"go:3/36,ru:1/1",3,0,17,216,36,2008,1.0,True
1.0-1000-classical-2008-scanalyzer-1,scanalyzer,20,go+ru,2,3,bnovelty,558476505,3,0.75,0.25,0.25,1.6,17,3,0.5,0.0,,30,50,0.6,0.5416666666666666,"go:3/36,ru:1/1",3,0,17,216,36,2008,1.0,True
1.0-1000-classical-2008-scanalyzer-1,scanalyzer,20,go+ru,2,3,maxsum_stability,558476505,20,32.458333333333314,0.08333333333333333,0.08819444444444442,146.2,0,20,0.34166666666666645,0.0,,40,50,0.8,0.7777777777777778,"go:20/36,ru:1/1",20,0,0,216,36,2008,1.0,True
1.0-1000-classical-2000-schedule-1,schedule,20,go+ru,2,3,bcoverage,1496174874,20,67.74999999999999,0.15,0.24,0.0,0,20,0.713157894736842,0.0,,22,50,0.44,0.51,"go:20/1000,ru:1/1",20,0,0,1000,1000,2000,1.0,True
1.0-1000-classical-2000-schedule-1,schedule,20,go+ru,2,3,bmaxsum,1496174874,20,75.05000000000007,0.1,0.205,37.30277957336776,0,20,0.7900000000000007,0.0,,23,50,0.46,0.51,"go:20/1000,ru:1/1",20,0,0,1000,1000,2000,1.0,True
1.0-1000-classical-2000-schedule-1,schedule,20,go+ru,2,3,bmaxmin,1496174874,2,0.5,0.5,0.5,0.0,18,2,1.0,0.0,,22,50,0.44,0.501,"go:2/1000,ru:1/1",2,0,18,1000,1000,2000,1.0,True
1.0-1000-classical-2000-schedule-1,schedule,20,go+ru,2,3,bnovelty,1496174874,2,0.5,0.5,0.5,0.0,18,2,1.0,0.0,,22,50,0.44,0.501,"go:2/1000,ru:1/1",2,0,18,1000,1000,2000,1.0,True
1.0-1000-classical-2000-schedule-1,schedule,20,go+ru,2,3,maxsum_stability,1496174874,20,61.75000000000001,0.1,0.1825,58.56733462615806,0,20,0.65,0.0,,23,50,0.46,0.51,"go:20/1000,ru:1/1",20,0,0,1000,1000,2000,1.0,True
1.0-1000-classical-2006-tpp-4,tpp,20,go+ru,2,3,bcoverage,240516610,20,74.5,0.25,0.25,0.0,0,20,0.7842105263157895,0.0,,44,50,0.88,0.9166666666666667,"go:20/24,ru:1/1",20,0,0,1000,24,2006,1.0,True
1.0-1000-classical-2006-tpp-4,tpp,20,go+ru,2,3,bmaxsum,240516610,20,74.75,0.25,0.25,0.0,0,20,0.7868421052631579,0.0,,43,50,0.86,0.9166666666666667,"go:20/24,ru:1/1",20,0,0,1000,24,2006,1.0,True
1.0-1000-classical-2006-tpp-4,tpp,20,go+ru,2,3,bmaxmin,240516610,4,3.0,0.5,0.5,0.0,16,4,1.0,0.0,,31,50,0.62,0.5833333333333334,"go:4/24,ru:1/1",4,0,16,1000,24,2006,1.0,True
