task_id,domain,k,selector_i,selector_j,jaccard,overlap_jaccard_plans,seed
1.0-1000-classical-2006-openstacks-1,openstacks,20,maxsum_stability,bnovelty,0.14285714285714285,0.043478260869565216,1425594218
1.0-1000-classical-2006-openstacks-1,openstacks,20,maxsum_stability,maxsum_stability,1.0,1.0,1425594218
1.0-1000-classical-2008-pegsol-12,pegsol,20,bcoverage,bcoverage,1.0,1.0,1782990122
1.0-1000-classical-2008-pegsol-12,pegsol,20,bcoverage,bmaxsum,0.17647058823529413,0.17647058823529413,1782990122
1.0-1000-classical-2008-pegsol-12,pegsol,20,bcoverage,bmaxmin,0.09523809523809523,0.09523809523809523,1782990122
1.0-1000-classical-2008-pegsol-12,pegsol,20,bcoverage,bnovelty,0.09523809523809523,0.09523809523809523,1782990122
1.0-1000-classical-2008-pegsol-12,pegsol,20,bcoverage,maxsum_stability,0.26666666666666666,0.17647058823529413,1782990122
1.0-1000-classical-2008-pegsol-12,pegsol,20,bmaxsum,bcoverage,0.17647058823529413,0.17647058823529413,1782990122
1.0-1000-classical-2008-pegsol-12,pegsol,20,bmaxsum,bmaxsum,1.0,1.0,1782990122
1.0-1000-classical-2008-pegsol-12,pegsol,20,bmaxsum,bmaxmin,0.15,0.15,1782990122
1.0-1000-classical-2008-pegsol-12,pegsol,20,bmaxsum,bnovelty,0.15,0.15,1782990122
1.0-1000-classical-2008-pegsol-12,pegsol,20,bmaxsum,maxsum_stability,0.05555555555555555,0.05263157894736842,1782990122
1.0-1000-classical-2008-pegsol-12,pegsol,20,bmaxmin,bcoverage,0.09523809523809523,0.09523809523809523,1782990122
1.0-1000-classical-2008-pegsol-12,pegsol,20,bmaxmin,bmaxsum,0.15,0.15,1782990122
1.0-1000-classical-2008-pegsol-12,pegsol,20,bmaxmin,bmaxmin,1.0,1.0,1782990122
1.0-1000-classical-2008-pegsol-12,pegsol,20,bmaxmin,bnovelty,1.0,1.0,1782990122
1.0-1000-classical-2008-pegsol-12,pegsol,20,bmaxmin,maxsum_stability,0.05,0.045454545454545456,1782990122
1.0-1000-classical-2008-pegsol-12,pegsol,20,bnovelty,bcoverage,0.09523809523809523,0.09523809523809523,1782990122
1.0-1000-classical-2008-pegsol-12,pegsol,20,bnovelty,bmaxsum,0.15,0.15,1782990122
1.0-1000-classical-2008-pegsol-12,pegsol,20,bnovelty,bmaxmin,1.0,1.0,1782990122
1.0-1000-classical-2008-pegsol-12,pegsol,20,bnovelty,bnovelty,1.0,1.0,1782990122
1.0-1000-classical-2008-pegsol-12,pegsol,20,bnovelty,maxsum_stability,0.05,0.045454545454545456,1782990122
1.0-1000-classical-2008-pegsol-12,pegsol,20,maxsum_stability,bcoverage,0.26666666666666666,0.17647058823529413,1782990122
